frame,time_s,Kc,target_speed,error_L,error_R,command_L,command_R,left_speed,right_speed,v,w,theta_deg,x,y
3,0.048,30.0,50.0,1.616,1.8464,48.48,55.392,48.3871,48.5625,48.4748,0.0029,0.0725,202.35,240.0
6,0.096,30.0,50.0,1.6129,1.4703,48.3871,44.11,48.3871,48.5294,48.4582,0.0024,0.079,204.68,240.01
9,0.144,30.0,50.0,1.6129,1.4706,48.3871,44.1177,48.3871,48.5294,48.4583,0.0024,0.0855,207.01,240.01
12,0.192,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.092,209.33,240.01
15,0.24,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.0986,211.66,240.02
18,0.288,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.1051,213.98,240.02
21,0.336,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.1116,216.31,240.03
24,0.384,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.1181,218.64,240.03
27,0.432,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.1246,220.96,240.04
30,0.48,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.1312,223.29,240.04
33,0.528,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.1377,225.61,240.05
36,0.576,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.1442,227.94,240.05
39,0.624,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.1507,230.27,240.06
42,0.672,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.1573,232.59,240.06
45,0.72,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.1638,234.92,240.07
48,0.768,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.1703,237.24,240.08
51,0.816,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.1768,239.57,240.08
54,0.864,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.1834,241.9,240.09
57,0.912,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.1899,244.22,240.1
60,0.96,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.1964,246.55,240.11
63,1.008,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.2029,248.87,240.12
66,1.056,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.2094,251.2,240.12
69,1.104,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.216,253.53,240.13
72,1.152,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.2225,255.85,240.14
75,1.2,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.229,258.18,240.15
78,1.248,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.2355,260.5,240.16
81,1.296,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.2421,262.83,240.17
84,1.344,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.2486,265.16,240.18
87,1.392,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.2551,267.48,240.19
90,1.44,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.2616,269.81,240.2
93,1.488,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.2682,272.13,240.21
96,1.536,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.2747,274.46,240.22
99,1.584,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.2812,276.79,240.23
102,1.632,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.2877,279.11,240.25
105,1.68,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.2942,281.44,240.26
108,1.728,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.3008,283.76,240.27
111,1.776,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.3073,286.09,240.28
114,1.824,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.3138,288.42,240.29
117,1.872,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.3203,290.74,240.31
120,1.92,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.3269,293.07,240.32
123,1.968,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.3334,295.39,240.33
126,2.016,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.3399,297.72,240.35
129,2.064,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.3464,300.05,240.36
132,2.112,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.353,302.37,240.38
135,2.16,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.3595,304.7,240.39
138,2.208,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.366,307.02,240.41
141,2.256,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.3725,309.35,240.42
144,2.304,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.379,311.68,240.44
147,2.352,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.3856,314.0,240.45
150,2.4,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.3921,316.33,240.47
153,2.448,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.3986,318.65,240.48
156,2.496,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.4051,320.98,240.5
159,2.544,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.4117,323.3,240.52
162,2.592,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.4182,325.63,240.53
165,2.64,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.4247,327.96,240.55
168,2.688,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.4312,330.28,240.57
171,2.736,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.4378,332.61,240.59
174,2.784,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.4443,334.93,240.6
177,2.832,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.4508,337.26,240.62
180,2.88,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.4573,339.59,240.64
183,2.928,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.4639,341.91,240.66
