frame,time_s,Kc,target_speed,left_gain,right_gain,tau,error_L,error_R,command_L,command_R,left_speed,right_speed,v,w,theta_deg,x,y
3,0.048,2.0,100.0,1.0,1.1,0.5,87.8144,86.6409,175.6288,173.2818,17.4158,19.0311,18.2235,0.0269,0.052,150.6,300.0
6,0.096,2.0,100.0,1.0,1.1,0.5,73.5819,71.3078,147.1639,142.6156,30.2819,32.7941,31.538,0.0419,0.156,151.92,300.0
9,0.144,2.0,100.0,1.0,1.1,0.5,63.0675,60.2191,126.1351,120.4383,39.787,42.7473,41.2671,0.0493,0.286,153.76,300.01
12,0.192,2.0,100.0,1.0,1.1,0.5,55.2999,52.2,110.5997,104.4,46.8089,49.9453,48.3771,0.0523,0.428,155.97,300.03
15,0.24,2.0,100.0,1.0,1.1,0.5,49.5614,46.4007,99.1228,92.8014,51.9965,55.1507,53.5736,0.0526,0.572,158.47,300.05
18,0.288,2.0,100.0,1.0,1.1,0.5,45.322,42.2067,90.6441,84.4135,55.8289,58.9152,57.3721,0.0514,0.715,161.16,300.08
21,0.336,2.0,100.0,1.0,1.1,0.5,42.1901,39.1737,84.3803,78.3475,58.6601,61.6377,60.1489,0.0496,0.853,164.01,300.12
24,0.384,2.0,100.0,1.0,1.1,0.5,39.8764,36.9803,79.7528,73.9606,60.7517,63.6065,62.1791,0.0476,0.986,166.96,300.17
27,0.432,2.0,100.0,1.0,1.1,0.5,38.1671,35.3941,76.3343,70.7881,62.2969,65.0303,63.6636,0.0456,1.113,170.0,300.23
30,0.48,2.0,100.0,1.0,1.1,0.5,36.9044,34.2469,73.8087,68.4938,63.4385,66.06,64.7492,0.0437,1.235,173.09,300.29
33,0.528,2.0,100.0,1.0,1.1,0.5,35.9715,33.4173,71.943,66.8346,64.2818,66.8046,65.5432,0.042,1.352,176.22,300.36
36,0.576,2.0,100.0,1.0,1.1,0.5,35.2823,32.8174,70.5646,65.6347,64.9048,67.3431,66.124,0.0406,1.465,179.38,300.44
39,0.624,2.0,100.0,1.0,1.1,0.5,34.7732,32.3835,69.5463,64.767,65.3651,67.7326,66.5488,0.0395,1.575,182.57,300.53
42,0.672,2.0,100.0,1.0,1.1,0.5,34.397,32.0697,68.794,64.1395,65.7051,68.0142,66.8597,0.0385,1.681,185.77,300.62
45,0.72,2.0,100.0,1.0,1.1,0.5,34.1191,31.8428,68.2383,63.6856,65.9563,68.2179,67.0871,0.0377,1.786,188.99,300.72
48,0.768,2.0,100.0,1.0,1.1,0.5,33.9139,31.6787,67.8277,63.3574,66.1419,68.3652,67.2535,0.0371,1.888,192.21,300.82
51,0.816,2.0,100.0,1.0,1.1,0.5,33.7622,31.56,67.5244,63.1201,66.279,68.4717,67.3753,0.0365,1.989,195.44,300.93
54,0.864,2.0,100.0,1.0,1.1,0.5,33.6502,31.4742,67.3003,62.9484,66.3802,68.5487,67.4645,0.0361,2.089,198.68,301.05
