frame,time_s,Kc,Kh,target_speed,target_heading_deg,heading_error_deg,heading_correction,error_L,error_R,command_L,command_R,left_speed,right_speed,v,w,theta_deg,x,y
3,0.048,2.0,40.0,100.0,0.0,-0.0277,-0.0193,87.8333,86.622,175.6666,173.2441,17.4174,19.0293,18.2234,0.0269,0.0523,200.6,240.0
6,0.096,2.0,40.0,100.0,0.0,-0.1169,-0.0816,73.6565,71.2339,147.3129,142.4679,30.2936,32.7814,31.5375,0.0415,0.155,201.92,240.0
9,0.144,2.0,40.0,100.0,0.0,-0.2384,-0.1664,63.2094,60.0794,126.4189,120.1588,39.8198,42.7116,41.2657,0.0482,0.2826,203.75,240.01
12,0.192,2.0,40.0,100.0,0.0,-0.3734,-0.2607,55.5077,51.9967,111.0153,103.9933,46.8734,49.8755,48.3744,0.05,0.4193,205.97,240.03
15,0.24,2.0,40.0,100.0,0.0,-0.5105,-0.3564,49.8273,46.1419,99.6547,92.2839,52.101,55.038,53.5695,0.0489,0.5553,208.46,240.05
18,0.288,2.0,40.0,100.0,0.0,-0.6428,-0.4488,45.6362,41.9027,91.2723,83.8054,55.9793,58.7537,57.3665,0.0462,0.6852,211.16,240.08
21,0.336,2.0,40.0,100.0,0.0,-0.7669,-0.5354,42.5424,38.8344,85.0849,77.6689,58.8599,61.424,60.1419,0.0427,0.8061,214.01,240.12
24,0.384,2.0,40.0,100.0,0.0,-0.881,-0.615,40.2579,36.6145,80.5158,73.229,61.0022,63.3395,62.1708,0.039,0.9167,216.96,240.16
27,0.432,2.0,40.0,100.0,0.0,-0.9846,-0.6874,38.5703,35.009,77.1406,70.0179,62.5978,64.7105,63.6542,0.0352,1.0169,219.99,240.21
30,0.48,2.0,40.0,100.0,0.0,-1.0782,-0.7527,37.3232,33.8482,74.6465,67.6964,63.7884,65.6892,64.7388,0.0317,1.1072,223.08,240.27
33,0.528,2.0,40.0,100.0,0.0,-1.1623,-0.8114,36.4015,33.0092,72.8029,66.0185,64.6785,66.3855,65.532,0.0284,1.1884,226.22,240.34
36,0.576,2.0,40.0,100.0,0.0,-1.2378,-0.8641,35.72,32.403,71.44,64.806,65.3456,66.8786,66.1121,0.0255,1.2612,229.38,240.4
39,0.624,2.0,40.0,100.0,0.0,-1.3056,-0.9115,35.2161,31.965,70.4322,63.93,65.847,67.2259,66.5364,0.023,1.3267,232.57,240.48
42,0.672,2.0,40.0,100.0,0.0,-1.3667,-0.9541,34.8436,31.6486,69.6872,63.2971,66.225,67.4686,66.8468,0.0207,1.3857,235.77,240.55
45,0.72,2.0,40.0,100.0,0.0,-1.4219,-0.9926,34.5682,31.4199,69.1364,62.8397,66.5112,67.6366,67.0739,0.0188,1.4391,238.99,240.63
48,0.768,2.0,40.0,100.0,0.0,-1.4718,-1.0275,34.3647,31.2545,68.7294,62.509,66.7289,67.7513,67.2401,0.017,1.4874,242.21,240.72
51,0.816,2.0,40.0,100.0,0.0,-1.5173,-1.0593,34.2145,31.1349,68.429,62.2697,66.8955,67.828,67.3617,0.0155,1.5315,245.44,240.8
54,0.864,2.0,40.0,100.0,0.0,-1.5588,-1.0882,34.1037,31.0481,68.2074,62.0963,67.0237,67.8778,67.4507,0.0142,1.5718,248.68,240.89
57,0.912,2.0,40.0,100.0,0.0,-1.5968,-1.1148,34.0221,30.9851,68.0442,61.9703,67.1232,67.9086,67.5159,0.0131,1.6088,251.91,240.98
60,0.96,2.0,40.0,100.0,0.0,-1.6319,-1.1393,33.9622,30.9392,67.9243,61.8785,67.201,67.9261,67.5636,0.0121,1.643,255.16,241.07
63,1.008,2.0,40.0,100.0,0.0,-1.6643,-1.1619,33.9183,30.9057,67.8366,61.8113,67.2626,67.9344,67.5985,0.0112,1.6746,258.4,241.17
66,1.056,2.0,40.0,100.0,0.0,-1.6944,-1.1829,33.8863,30.8809,67.7726,61.7619,67.3118,67.9362,67.624,0.0104,1.7039,261.64,241.26
69,1.104,2.0,40.0,100.0,0.0,-1.7223,-1.2024,33.8632,30.8626,67.7263,61.7252,67.3516,67.9338,67.6427,0.0097,1.7312,264.89,241.36
72,1.152,2.0,40.0,100.0,0.0,-1.7484,-1.2206,33.8465,30.8489,67.693,61.6977,67.3843,67.9285,67.6564,0.0091,1.7567,268.13,241.46
75,1.2,2.0,40.0,100.0,0.0,-1.7728,-1.2377,33.8347,30.8385,67.6694,61.6769,67.4115,67.9214,67.6664,0.0085,1.7806,271.38,241.56
78,1.248,2.0,40.0,100.0,0.0,-1.7957,-1.2536,33.8265,30.8304,67.653,61.6609,67.4344,67.9131,67.6737,0.008,1.803,274.63,241.66
81,1.296,2.0,40.0,100.0,0.0,-1.8172,-1.2686,33.8209,30.8242,67.6418,61.6483,67.454,67.9042,67.6791,0.0075,1.8241,277.87,241.76
84,1.344,2.0,40.0,100.0,0.0,-1.8374,-1.2828,33.8172,30.8191,67.6345,61.6383,67.4709,67.895,67.683,0.0071,1.8439,281.12,241.87
87,1.392,2.0,40.0,100.0,0.0,-1.8565,-1.2961,33.815,30.8151,67.63,61.6301,67.4858,67.8858,67.6858,0.0067,1.8626,284.37,241.97
90,1.44,2.0,40.0,100.0,0.0,-1.8745,-1.3086,33.8138,30.8116,67.6276,61.6233,67.4991,67.8767,67.6879,0.0063,1.8802,287.61,242.08
93,1.488,2.0,40.0,100.0,0.0,-1.8915,-1.3205,33.8134,30.8087,67.6267,61.6175,67.511,67.8678,67.6894,0.0059,1.8969,290.86,242.19
96,1.536,2.0,40.0,100.0,0.0,-1.9075,-1.3317,33.8134,30.8062,67.6269,61.6124,67.5217,67.8592,67.6905,0.0056,1.9127,294.11,242.29
99,1.584,2.0,40.0,100.0,0.0,-1.9227,-1.3423,33.8139,30.804,67.6279,61.608,67.5316,67.851,67.6913,0.0053,1.9276,297.36,242.4
102,1.632,2.0,40.0,100.0,0.0,-1.9371,-1.3523,33.8147,30.802,67.6293,61.604,67.5406,67.8431,67.6918,0.005,1.9417,300.6,242.51
105,1.68,2.0,40.0,100.0,0.0,-1.9507,-1.3618,33.8156,30.8002,67.6312,61.6003,67.549,67.8355,67.6922,0.0048,1.9551,303.85,242.62
108,1.728,2.0,40.0,100.0,0.0,-1.9636,-1.3709,33.8166,30.7985,67.6333,61.597,67.5567,67.8283,67.6925,0.0045,1.9678,307.1,242.74
111,1.776,2.0,40.0,100.0,0.0,-1.9758,-1.3794,33.8178,30.7969,67.6355,61.5939,67.564,67.8214,67.6927,0.0043,1.9798,310.35,242.85
114,1.824,2.0,40.0,100.0,0.0,-1.9874,-1.3875,33.8189,30.7955,67.6378,61.591,67.5708,67.8149,67.6928,0.0041,1.9912,313.59,242.96
117,1.872,2.0,40.0,100.0,0.0,-1.9984,-1.3952,33.8201,30.7941,67.6402,61.5883,67.5772,67.8087,67.6929,0.0039,2.002,316.84,243.07
120,1.92,2.0,40.0,100.0,0.0,-2.0088,-1.4024,33.8212,30.7929,67.6425,61.5857,67.5832,67.8028,67.693,0.0037,2.0122,320.09,243.19
123,1.968,2.0,40.0,100.0,0.0,-2.0187,-1.4093,33.8224,30.7917,67.6447,61.5833,67.5888,67.7972,67.693,0.0035,2.0219,323.33,243.3
126,2.016,2.0,40.0,100.0,0.0,-2.0281,-1.4159,33.8235,30.7905,67.647,61.581,67.5942,67.7918,67.693,0.0033,2.0311,326.58,243.42
129,2.064,2.0,40.0,100.0,0.0,-2.037,-1.4221,33.8246,30.7894,67.6491,61.5789,67.5992,67.7868,67.693,0.0031,2.0399,329.83,243.53
132,2.112,2.0,40.0,100.0,0.0,-2.0455,-1.428,33.8256,30.7884,67.6512,61.5768,67.604,67.782,67.693,0.003,2.0482,333.08,243.65
135,2.16,2.0,40.0,100.0,0.0,-2.0535,-1.4336,33.8266,30.7874,67.6532,61.5749,67.6085,67.7775,67.693,0.0028,2.0561,336.32,243.76
138,2.208,2.0,40.0,100.0,0.0,-2.0611,-1.4389,33.8276,30.7865,67.6551,61.573,67.6128,67.7731,67.693,0.0027,2.0636,339.57,243.88
141,2.256,2.0,40.0,100.0,0.0,-2.0683,-1.444,33.8285,30.7857,67.657,61.5713,67.6168,67.769,67.6929,0.0025,2.0707,342.82,244.0
144,2.304,2.0,40.0,100.0,0.0,-2.0752,-1.4488,33.8294,30.7848,67.6587,61.5696,67.6207,67.7651,67.6929,0.0024,2.0774,346.07,244.12
147,2.352,2.0,40.0,100.0,0.0,-2.0817,-1.4533,33.8302,30.784,67.6604,61.5681,67.6243,67.7615,67.6929,0.0023,2.0838,349.31,244.23
150,2.4,2.0,40.0,100.0,0.0,-2.0879,-1.4576,33.831,30.7833,67.662,61.5666,67.6278,67.758,67.6929,0.0022,2.0899,352.56,244.35
153,2.448,2.0,40.0,100.0,0.0,-2.0937,-1.4617,33.8317,30.7826,67.6635,61.5651,67.631,67.7546,67.6928,0.0021,2.0956,355.81,244.47
156,2.496,2.0,40.0,100.0,0.0,-2.0993,-1.4656,33.8325,30.7819,67.6649,61.5638,67.6341,67.7515,67.6928,0.002,2.1011,359.05,244.59
159,2.544,2.0,40.0,100.0,0.0,-2.1046,-1.4693,33.8332,30.7813,67.6663,61.5625,67.6371,67.7485,67.6928,0.0019,2.1063,362.3,244.71
162,2.592,2.0,40.0,100.0,0.0,-2.1096,-1.4728,33.8338,30.7807,67.6676,61.5613,67.6399,67.7456,67.6928,0.0018,2.1112,365.55,244.83
165,2.64,2.0,40.0,100.0,0.0,-2.1144,-1.4761,33.8344,30.7801,67.6689,61.5601,67.6426,67.7429,67.6927,0.0017,2.1159,368.79,244.95
168,2.688,2.0,40.0,100.0,0.0,-2.1189,-1.4793,33.835,30.7795,67.6701,61.5591,67.6451,67.7404,67.6927,0.0016,2.1204,372.04,245.07
171,2.736,2.0,40.0,100.0,0.0,-2.1232,-1.4823,33.8356,30.779,67.6712,61.558,67.6475,67.7379,67.6927,0.0015,2.1246,375.29,245.19
174,2.784,2.0,40.0,100.0,0.0,-2.1273,-1.4851,33.8361,30.7785,67.6722,61.557,67.6497,67.7356,67.6927,0.0014,2.1286,378.54,245.31
177,2.832,2.0,40.0,100.0,0.0,-2.1311,-1.4878,33.8366,30.778,67.6733,61.5561,67.6519,67.7334,67.6927,0.0014,2.1324,381.78,245.43
180,2.88,2.0,40.0,100.0,0.0,-2.1348,-1.4904,33.8371,30.7776,67.6742,61.5552,67.6539,67.7313,67.6926,0.0013,2.136,385.03,245.55
183,2.928,2.0,40.0,100.0,0.0,-2.1383,-1.4928,33.8376,30.7772,67.6751,61.5543,67.6559,67.7294,67.6926,0.0012,2.1394,388.28,245.67
186,2.976,2.0,40.0,100.0,0.0,-2.1416,-1.4951,33.838,30.7768,67.676,61.5535,67.6577,67.7275,67.6926,0.0012,2.1427,391.52,245.8
189,3.024,2.0,40.0,100.0,0.0,-2.1448,-1.4973,33.8384,30.7764,67.6768,61.5528,67.6595,67.7257,67.6926,0.0011,2.1458,394.77,245.92
192,3.072,2.0,40.0,100.0,0.0,-2.1477,-1.4994,33.8388,30.776,67.6776,61.5521,67.6611,67.724,67.6926,0.001,2.1487,398.02,246.04
195,3.12,2.0,40.0,100.0,0.0,-2.1506,-1.5014,33.8392,30.7757,67.6784,61.5514,67.6627,67.7224,67.6926,0.001,2.1515,401.26,246.16
198,3.168,2.0,40.0,100.0,0.0,-2.1533,-1.5033,33.8395,30.7754,67.6791,61.5507,67.6642,67.7209,67.6926,0.0009,2.1541,404.51,246.28
201,3.216,2.0,40.0,100.0,0.0,-2.1558,-1.505,33.8399,30.775,67.6797,61.5501,67.6656,67.7194,67.6925,0.0009,2.1566,407.76,246.4
204,3.264,2.0,40.0,100.0,0.0,-2.1582,-1.5067,33.8402,30.7748,67.6804,61.5495,67.667,67.7181,67.6925,0.0009,2.159,411.01,246.53
207,3.312,2.0,40.0,100.0,0.0,-2.1605,-1.5083,33.8405,30.7745,67.681,61.5489,67.6683,67.7168,67.6925,0.0008,2.1613,414.25,246.65
210,3.36,2.0,40.0,100.0,0.0,-2.1627,-1.5099,33.8408,30.7742,67.6815,61.5484,67.6695,67.7155,67.6925,0.0008,2.1634,417.5,246.77
213,3.408,2.0,40.0,100.0,0.0,-2.1648,-1.5113,33.841,30.774,67.6821,61.5479,67.6706,67.7143,67.6925,0.0007,2.1655,420.75,246.89
216,3.456,2.0,40.0,100.0,0.0,-2.1668,-1.5127,33.8413,30.7737,67.6826,61.5474,67.6717,67.7132,67.6925,0.0007,2.1674,423.99,247.02
219,3.504,2.0,40.0,100.0,0.0,-2.1686,-1.514,33.8416,30.7735,67.6831,61.547,67.6728,67.7122,67.6925,0.0007,2.1692,427.24,247.14
222,3.552,2.0,40.0,100.0,0.0,-2.1704,-1.5152,33.8418,30.7733,67.6836,61.5465,67.6738,67.7112,67.6925,0.0006,2.171,430.49,247.26
225,3.6,2.0,40.0,100.0,0.0,-2.1721,-1.5164,33.842,30.7731,67.684,61.5461,67.6747,67.7102,67.6925,0.0006,2.1726,433.73,247.39
228,3.648,2.0,40.0,100.0,0.0,-2.1737,-1.5175,33.8422,30.7729,67.6844,61.5457,67.6756,67.7093,67.6925,0.0006,2.1742,436.98,247.51
231,3.696,2.0,40.0,100.0,0.0,-2.1752,-1.5186,33.8424,30.7727,67.6848,61.5454,67.6764,67.7084,67.6924,0.0005,2.1757,440.23,247.63
234,3.744,2.0,40.0,100.0,0.0,-2.1767,-1.5196,33.8426,30.7725,67.6852,61.545,67.6773,67.7076,67.6924,0.0005,2.1771,443.47,247.76
237,3.792,2.0,40.0,100.0,0.0,-2.178,-1.5205,33.8428,30.7723,67.6856,61.5447,67.678,67.7069,67.6924,0.0005,2.1785,446.72,247.88
240,3.84,2.0,40.0,100.0,0.0,-2.1793,-1.5215,33.843,30.7722,67.6859,61.5444,67.6787,67.7061,67.6924,0.0005,2.1797,449.97,248.0
243,3.888,2.0,40.0,100.0,0.0,-2.1806,-1.5223,33.8431,30.772,67.6862,61.5441,67.6794,67.7054,67.6924,0.0004,2.181,453.22,248.13
246,3.936,2.0,40.0,100.0,0.0,-2.1817,-1.5231,33.8433,30.7719,67.6865,61.5438,67.6801,67.7048,67.6924,0.0004,2.1821,456.46,248.25
249,3.984,2.0,40.0,100.0,0.0,-2.1828,-1.5239,33.8434,30.7718,67.6868,61.5435,67.6807,67.7041,67.6924,0.0004,2.1832,459.71,248.37
252,4.032,2.0,40.0,100.0,0.0,-2.1839,-1.5246,33.8436,30.7716,67.6871,61.5433,67.6813,67.7035,67.6924,0.0004,2.1842,462.96,248.5
255,4.08,2.0,40.0,100.0,0.0,-2.1849,-1.5253,33.8437,30.7715,67.6874,61.543,67.6818,67.703,67.6924,0.0004,2.1852,466.2,248.62
258,4.128,2.0,40.0,100.0,0.0,-2.1858,-1.526,33.8438,30.7714,67.6876,61.5428,67.6824,67.7024,67.6924,0.0003,2.1862,469.45,248.75
261,4.176,2.0,40.0,100.0,0.0,-2.1868,-1.5266,33.8439,30.7713,67.6879,61.5426,67.6829,67.7019,67.6924,0.0003,2.187,472.7,248.87
264,4.224,2.0,40.0,100.0,0.0,-2.1876,-1.5272,33.844,30.7712,67.6881,61.5424,67.6834,67.7014,67.6924,0.0003,2.1879,475.94,248.99
267,4.272,2.0,40.0,100.0,0.0,-2.1884,-1.5278,33.8441,30.7711,67.6883,61.5422,67.6838,67.701,67.6924,0.0003,2.1887,479.19,249.12
270,4.32,2.0,40.0,100.0,0.0,-2.1892,-1.5283,33.8443,30.771,67.6885,61.542,67.6842,67.7005,67.6924,0.0003,2.1894,482.44,249.24
273,4.368,2.0,40.0,100.0,0.0,-2.1899,-1.5289,33.8443,30.7709,67.6887,61.5418,67.6846,67.7001,67.6924,0.0003,2.1902,485.68,249.37
276,4.416,2.0,40.0,100.0,0.0,-2.1906,-1.5293,33.8444,30.7708,67.6889,61.5416,67.685,67.6997,67.6924,0.0002,2.1908,488.93,249.49
279,4.464,2.0,40.0,100.0,0.0,-2.1913,-1.5298,33.8445,30.7707,67.6891,61.5415,67.6854,67.6993,67.6924,0.0002,2.1915,492.18,249.62
282,4.512,2.0,40.0,100.0,0.0,-2.1919,-1.5302,33.8446,30.7707,67.6892,61.5413,67.6858,67.699,67.6924,0.0002,2.1921,495.42,249.74
285,4.56,2.0,40.0,100.0,0.0,-2.1925,-1.5307,33.8447,30.7706,67.6894,61.5412,67.6861,67.6986,67.6924,0.0002,2.1927,498.67,249.86
288,4.608,2.0,40.0,100.0,0.0,-2.1931,-1.5311,33.8448,30.7705,67.6895,61.541,67.6864,67.6983,67.6924,0.0002,2.1933,501.92,249.99
291,4.656,2.0,40.0,100.0,0.0,-2.1936,-1.5314,33.8448,30.7705,67.6897,61.5409,67.6867,67.698,67.6924,0.0002,2.1938,505.17,250.11
